2020-07-29 16:49:36.680 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:49:49.192 [DEBU] [  2 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:50:22.807 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:50:35.203 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:53:48.886 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:54:13.428 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:54:28.010 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:57:11.808 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:58:01.613 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:58:12.343 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 16:58:54.442 [DEBU] [  2 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 17:04:08.983 [DEBU] [  1 ms] SELECT SCHEMA_NAME AS `database` FROM INFORMATION_SCHEMA.SCHEMATA;
2020-07-29 17:04:14.309 [DEBU] [  2 ms] select table_name as table_name from information_schema.tables where table_schema = 'gf-vue-admin'
2020-07-29 17:04:55.880 [DEBU] [  2 ms] select table_name as table_name from information_schema.tables where table_schema = 'gf-vue-admin'
2020-07-29 17:07:40.429 [DEBU] [  2 ms] SELECT COLUMN_NAME column_name,DATA_TYPE data_type,CASE DATA_TYPE WHEN 'longtext' THEN c.CHARACTER_MAXIMUM_LENGTH WHEN 'varchar' THEN c.CHARACTER_MAXIMUM_LENGTH WHEN 'double' THEN CONCAT_WS( ',', c.NUMERIC_PRECISION, c.NUMERIC_SCALE ) WHEN 'decimal' THEN CONCAT_WS( ',', c.NUMERIC_PRECISION, c.NUMERIC_SCALE ) WHEN 'int' THEN c.NUMERIC_PRECISION WHEN 'bigint' THEN c.NUMERIC_PRECISION ELSE '' END AS data_type_long,COLUMN_COMMENT colume_comment FROM INFORMATION_SCHEMA.COLUMNS c WHERE table_name = 'gf-vue-admin' AND table_schema = 'admins'
2020-07-29 17:08:30.192 [DEBU] [  2 ms] SELECT COLUMN_NAME column_name,DATA_TYPE data_type,CASE DATA_TYPE WHEN 'longtext' THEN c.CHARACTER_MAXIMUM_LENGTH WHEN 'varchar' THEN c.CHARACTER_MAXIMUM_LENGTH WHEN 'double' THEN CONCAT_WS( ',', c.NUMERIC_PRECISION, c.NUMERIC_SCALE ) WHEN 'decimal' THEN CONCAT_WS( ',', c.NUMERIC_PRECISION, c.NUMERIC_SCALE ) WHEN 'int' THEN c.NUMERIC_PRECISION WHEN 'bigint' THEN c.NUMERIC_PRECISION ELSE '' END AS data_type_long,COLUMN_COMMENT colume_comment FROM INFORMATION_SCHEMA.COLUMNS c WHERE table_name = 'admins' AND table_schema = 'gf-vue-admin'
